project_id,snapshot_id,state,district,project_type,project_cost,project_length_km,land_required_hectares,land_acquired_pct,land_pending_pct,private_land_pct,government_land_pct,forest_land_pct,affected_families,affected_landowners,vulnerable_households,compensation_awarded_amount,compensation_paid_amount,compensation_pending_amount,compensation_pending_pct,compensation_dispute_count,average_compensation_delay_days,legal_case_count,court_case_count,arbitration_case_count,ownership_dispute_count,notification_delay_days,approval_delay_days,survey_delay_days,document_completion_pct,interdepartmental_pending_count,rr_required,rr_completion_pct,families_relocated_pct,rr_grievances,possession_pct,row_available_pct,encumbrance_free_pct,public_objection_count,unresolved_grievances,stakeholder_response_rate,district_avg_resolution_days,agency_avg_delay_days,previous_project_delay_rate,days_since_notification,days_since_last_update,days_in_current_stage,acquisition_stage,actual_completion_delay_days,delayed_gt_90_days,delay_severity,most_likely_delay_stage,prediction_date,source_type,source_reference
P0003,P0003_S1,Madhya Pradesh,Madhya Pradesh_Dist_14,Metro,167.87,8.99,40.06,12.54,87.46,60.58,39.42,0.0,1199,1407,534,37.81,3.44,34.37,90.9,3,34.0,0,0,0,48,6,8,26,22.73,2,1,0.0,0.0,58,10.38,0.68,0.33,23,16,84.88,183.9,70.7,0.54,30,22,61,Compensation Disbursement,179,1,severe,Statutory Approvals,2026-03-30,synthetic_calibrated,SIH2026_GEN_SEED_42
P0003,P0003_S2,Madhya Pradesh,Madhya Pradesh_Dist_14,Metro,167.87,8.99,40.06,27.37,72.63,60.58,39.42,0.0,1199,1407,534,55.44,10.83,44.61,80.47,3,18.1,0,0,0,73,28,6,91,50.97,4,1,12.1,10.47,55,14.68,5.18,0.0,19,12,76.85,168.7,97.4,0.3,60,26,73,RR Execution,136,1,severe,Utility Shifting,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0003,P0003_S3,Madhya Pradesh,Madhya Pradesh_Dist_14,Metro,167.87,8.99,40.06,41.58,58.42,60.58,39.42,0.0,1199,1407,534,39.11,12.72,26.39,67.48,0,93.5,7,3,4,54,94,40,6,57.18,1,1,26.51,21.31,49,32.82,24.3,19.88,18,7,84.92,205.8,124.2,0.43,90,23,117,Pre-Notification,230,1,critical,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0003,P0003_S4,Madhya Pradesh,Madhya Pradesh_Dist_14,Metro,167.87,8.99,40.06,61.97,38.03,60.58,39.42,0.0,1199,1407,534,36.87,19.52,17.35,47.06,2,121.0,1,0,1,128,22,19,25,81.41,1,1,55.04,53.76,19,58.17,51.76,50.3,15,6,72.29,200.2,76.7,0.22,120,25,84,Pre-Notification,97,1,severe,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0003,P0003_S5,Madhya Pradesh,Madhya Pradesh_Dist_14,Metro,167.87,8.99,40.06,67.18,32.82,60.58,39.42,0.0,1199,1407,534,37.41,21.39,16.02,42.82,0,75.8,1,0,1,123,4,16,41,64.82,1,1,54.91,48.73,29,59.17,51.7,51.41,14,9,80.11,303.2,118.0,0.19,150,10,113,Award Declaration,121,1,severe,Compensation Disbursement,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0004,P0004_S1,Madhya Pradesh,Madhya Pradesh_Dist_09,Industrial Corridor,165.5,9.2,27.29,5.0,95.0,52.83,47.17,0.0,567,497,195,43.29,1.9,41.39,95.61,8,50.1,5,3,2,48,26,86,147,10.0,3,1,0.0,0.0,22,0.0,0.0,0.0,40,12,52.32,147.4,136.2,0.46,30,10,51,Award Declaration,485,1,critical,Utility Shifting,2026-03-30,synthetic_calibrated,SIH2026_GEN_SEED_42
P0004,P0004_S2,Madhya Pradesh,Madhya Pradesh_Dist_09,Industrial Corridor,165.5,9.2,27.29,5.0,95.0,52.83,47.17,0.0,567,497,195,44.48,1.8,42.68,95.95,6,44.2,9,4,5,126,64,40,38,15.32,6,1,0.0,0.0,15,0.0,0.0,0.0,41,20,52.6,131.6,49.7,0.36,60,25,118,Joint Measurement,490,1,critical,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0004,P0004_S3,Madhya Pradesh,Madhya Pradesh_Dist_09,Industrial Corridor,165.5,9.2,27.29,10.79,89.21,52.83,47.17,0.0,567,497,195,47.79,3.87,43.92,91.9,12,60.0,7,3,4,94,63,75,43,30.11,4,1,0.0,0.0,8,7.48,4.92,0.0,42,27,55.14,206.9,74.3,0.18,90,18,54,RR Execution,504,1,critical,Utility Shifting,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0004,P0004_S4,Madhya Pradesh,Madhya Pradesh_Dist_09,Industrial Corridor,165.5,9.2,27.29,23.14,76.86,52.83,47.17,0.0,567,497,195,32.63,5.66,26.97,82.65,9,62.7,8,4,4,59,26,53,37,19.07,7,1,13.65,10.55,14,15.59,7.59,4.79,40,15,45.52,192.1,119.2,0.27,120,23,61,Award Declaration,463,1,critical,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0004,P0004_S5,Madhya Pradesh,Madhya Pradesh_Dist_09,Industrial Corridor,165.5,9.2,27.29,42.63,57.37,52.83,47.17,0.0,567,497,195,28.23,9.63,18.6,65.89,7,70.3,12,5,7,73,28,78,33,75.59,7,1,25.25,21.62,6,29.83,26.38,20.19,38,11,49.95,141.0,89.5,0.22,150,22,95,Joint Measurement,565,1,critical,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0005,P0005_S1,Andhra Pradesh,Andhra Pradesh_Dist_07,Highway,109.88,11.38,47.48,5.0,95.0,78.02,21.98,0.0,1434,1383,565,17.96,0.74,17.22,95.88,4,87.1,7,3,4,287,24,31,36,18.24,6,1,0.0,0.0,23,0.0,0.0,0.0,27,11,57.13,129.3,56.8,0.32,30,15,118,Award Declaration,486,1,critical,Statutory Approvals,2026-03-30,synthetic_calibrated,SIH2026_GEN_SEED_42
P0005,P0005_S2,Andhra Pradesh,Andhra Pradesh_Dist_07,Highway,109.88,11.38,47.48,5.19,94.81,78.02,21.98,0.0,1434,1383,565,22.46,1.02,21.44,95.46,5,62.9,8,5,3,284,19,76,64,10.0,3,1,0.0,0.0,67,0.0,0.0,0.0,30,6,50.73,200.0,63.9,0.44,60,16,53,Joint Measurement,522,1,critical,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0005,P0005_S3,Andhra Pradesh,Andhra Pradesh_Dist_07,Highway,109.88,11.38,47.48,21.26,78.74,78.02,21.98,0.0,1434,1383,565,23.49,4.43,19.06,81.14,4,121.3,11,5,6,181,58,38,2,12.82,2,1,15.99,6.11,38,14.26,7.46,5.71,46,11,53.16,219.4,84.7,0.53,90,15,76,Compensation Disbursement,550,1,critical,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0005,P0005_S4,Andhra Pradesh,Andhra Pradesh_Dist_07,Highway,109.88,11.38,47.48,32.88,67.12,78.02,21.98,0.0,1434,1383,565,20.36,5.13,15.23,74.8,5,50.5,5,2,3,215,44,31,52,54.09,5,1,18.05,12.54,19,25.57,21.84,19.76,37,8,61.23,137.6,3.0,0.39,120,7,70,Compensation Disbursement,352,1,critical,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0005,P0005_S5,Andhra Pradesh,Andhra Pradesh_Dist_07,Highway,109.88,11.38,47.48,54.02,45.98,78.02,21.98,0.0,1434,1383,565,32.61,15.09,17.52,53.73,2,147.5,5,3,2,99,69,38,59,50.91,1,1,44.12,38.52,20,47.12,47.03,40.48,26,5,62.06,227.5,84.1,0.31,150,19,108,RR Execution,320,1,critical,Statutory Approvals,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0006,P0006_S1,Bihar,Bihar_Dist_11,Highway,362.65,71.33,252.39,23.67,76.33,66.05,33.95,0.0,2528,2847,1130,97.51,18.81,78.7,80.71,0,77.5,1,0,1,29,5,25,72,47.78,0,1,5.86,0.59,108,17.79,9.39,3.21,12,7,89.19,189.7,81.4,0.27,30,10,29,Compensation Disbursement,176,1,severe,Compensation Disbursement,2026-03-30,synthetic_calibrated,SIH2026_GEN_SEED_42
P0006,P0006_S2,Bihar,Bihar_Dist_11,Highway,362.65,71.33,252.39,41.02,58.98,66.05,33.95,0.0,2528,2847,1130,106.25,37.87,68.38,64.36,1,10.3,0,0,0,56,22,0,39,51.16,2,1,36.0,30.02,86,35.8,30.22,28.42,10,3,85.75,121.9,139.1,0.54,60,21,86,Award Declaration,49,0,moderate,R&R Execution,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0006,P0006_S3,Bihar,Bihar_Dist_11,Highway,362.65,71.33,252.39,55.53,44.47,66.05,33.95,0.0,2528,2847,1130,102.05,52.54,49.51,48.52,1,4.9,1,0,1,41,12,59,70,76.72,0,1,42.52,33.69,33,42.81,39.23,36.65,17,3,88.8,185.3,132.5,0.4,90,13,90,RR Execution,107,1,severe,Statutory Approvals,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0006,P0006_S4,Bihar,Bihar_Dist_11,Highway,362.65,71.33,252.39,72.47,27.53,66.05,33.95,0.0,2528,2847,1130,79.02,54.08,24.94,31.56,0,101.3,2,1,1,60,39,3,1,70.96,3,1,64.74,56.84,91,63.99,58.44,52.69,11,2,84.62,223.6,87.2,0.44,120,28,34,Compensation Disbursement,78,0,moderate,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0006,P0006_S5,Bihar,Bihar_Dist_11,Highway,362.65,71.33,252.39,83.72,16.28,66.05,33.95,0.0,2528,2847,1130,91.68,67.27,24.41,26.63,0,22.7,1,0,1,67,145,13,11,96.4,3,1,67.08,63.03,86,73.5,69.77,65.67,14,5,86.04,146.1,128.6,0.42,150,11,84,Compensation Disbursement,73,0,moderate,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0007,P0007_S1,Haryana,Haryana_Dist_02,Water/Irrigation,248.02,46.09,115.64,16.08,83.92,53.04,46.96,0.0,3684,3393,918,70.41,8.42,61.99,88.04,2,20.0,1,0,1,158,45,48,14,22.82,1,1,0.0,0.0,70,13.41,7.01,5.21,11,2,86.57,248.6,109.3,0.31,30,22,102,Compensation Disbursement,184,1,critical,Compensation Disbursement,2026-03-30,synthetic_calibrated,SIH2026_GEN_SEED_42
P0007,P0007_S2,Haryana,Haryana_Dist_02,Water/Irrigation,248.02,46.09,115.64,31.42,68.58,53.04,46.96,0.0,3684,3393,918,54.2,14.64,39.56,72.99,0,6.4,0,0,0,189,5,8,32,40.42,1,1,11.97,9.42,134,16.7,12.96,12.82,12,7,79.12,191.2,105.5,0.48,60,20,83,Compensation Disbursement,135,1,severe,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0007,P0007_S3,Haryana,Haryana_Dist_02,Water/Irrigation,248.02,46.09,115.64,42.76,57.24,53.04,46.96,0.0,3684,3393,918,67.21,22.86,44.35,65.99,1,15.3,0,0,0,194,77,23,57,44.12,2,1,28.02,24.74,129,32.83,27.2,24.16,15,7,84.89,167.9,89.1,0.38,90,12,92,Compensation Disbursement,48,0,moderate,Utility Shifting,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0007,P0007_S4,Haryana,Haryana_Dist_02,Water/Irrigation,248.02,46.09,115.64,61.53,38.47,53.04,46.96,0.0,3684,3393,918,60.97,26.55,34.42,56.45,0,22.9,1,0,1,194,50,50,77,59.7,0,1,53.59,53.51,132,47.86,45.43,38.01,13,5,76.77,140.6,114.3,0.37,120,20,50,Compensation Disbursement,92,1,severe,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0007,P0007_S5,Haryana,Haryana_Dist_02,Water/Irrigation,248.02,46.09,115.64,84.35,15.65,53.04,46.96,0.0,3684,3393,918,78.04,56.4,21.64,27.73,0,88.3,1,0,1,198,6,99,13,94.12,0,1,79.31,72.93,112,74.63,66.69,61.52,11,7,69.74,192.7,127.7,0.25,150,8,64,Compensation Disbursement,70,0,moderate,Utility Shifting,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0008,P0008_S1,Karnataka,Karnataka_Dist_04,Highway,499.6,29.82,50.84,27.44,72.56,52.94,47.06,0.0,1055,1020,214,138.69,29.57,109.12,78.68,0,6.9,0,0,0,11,17,23,32,25.04,0,1,17.32,9.13,36,21.06,12.0,5.82,12,5,84.32,129.9,119.0,0.33,30,6,74,RR Execution,23,0,minor,Compensation Disbursement,2026-03-30,synthetic_calibrated,SIH2026_GEN_SEED_42
P0008,P0008_S2,Karnataka,Karnataka_Dist_04,Highway,499.6,29.82,50.84,44.75,55.25,52.94,47.06,0.0,1055,1020,214,162.88,65.25,97.63,59.94,1,49.8,2,1,1,9,1,33,79,55.14,1,1,38.3,33.8,42,38.23,31.58,25.22,22,8,88.16,182.9,109.5,0.49,60,25,98,Compensation Disbursement,79,0,moderate,Compensation Disbursement,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0008,P0008_S3,Karnataka,Karnataka_Dist_04,Highway,499.6,29.82,50.84,63.66,36.34,52.94,47.06,0.0,1055,1020,214,153.08,88.94,64.14,41.9,0,16.3,0,0,0,5,82,32,9,65.57,2,1,50.92,41.73,31,48.76,40.25,38.58,22,13,95.0,168.4,96.7,0.47,90,24,28,Pre-Notification,6,0,minor,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0008,P0008_S4,Karnataka,Karnataka_Dist_04,Highway,499.6,29.82,50.84,68.96,31.04,52.94,47.06,0.0,1055,1020,214,144.38,80.03,64.35,44.57,1,89.1,2,1,1,6,20,20,3,67.86,0,1,61.93,52.3,33,54.4,50.08,47.59,15,3,91.83,131.6,105.0,0.4,120,27,97,Award Declaration,-1,0,on_time,Compensation Disbursement,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0008,P0008_S5,Karnataka,Karnataka_Dist_04,Highway,499.6,29.82,50.84,89.05,10.95,52.94,47.06,0.0,1055,1020,214,150.31,118.57,31.74,21.12,0,8.4,0,0,0,7,5,47,24,96.83,2,1,80.74,79.0,38,76.03,68.79,62.45,14,5,83.04,288.0,79.8,0.54,150,27,16,Pre-Notification,-30,0,on_time,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0009,P0009_S1,Gujarat,Gujarat_Dist_05,Industrial Corridor,266.95,15.9,19.72,27.49,72.51,53.27,46.73,0.0,584,688,173,69.3,15.93,53.37,77.01,0,30.1,0,0,0,8,19,18,12,47.2,5,1,18.67,10.26,6,13.77,9.16,4.06,17,3,92.38,132.3,91.6,0.44,30,5,101,Compensation Disbursement,52,0,moderate,Compensation Disbursement,2026-03-30,synthetic_calibrated,SIH2026_GEN_SEED_42
P0009,P0009_S2,Gujarat,Gujarat_Dist_05,Industrial Corridor,266.95,15.9,19.72,40.21,59.79,53.27,46.73,0.0,584,688,173,91.11,33.75,57.36,62.96,0,19.4,2,0,2,4,32,57,7,47.06,0,1,33.98,24.3,12,28.21,21.96,18.9,11,5,95.0,229.0,75.4,0.54,60,25,50,Joint Measurement,77,0,moderate,R&R Execution,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0009,P0009_S3,Gujarat,Gujarat_Dist_05,Industrial Corridor,266.95,15.9,19.72,61.46,38.54,53.27,46.73,0.0,584,688,173,71.14,40.42,30.72,43.18,0,18.6,1,0,1,6,17,37,71,61.62,2,1,52.17,44.01,25,48.46,39.27,37.25,18,11,91.77,215.5,108.4,0.41,90,15,100,RR Execution,24,0,minor,Statutory Approvals,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0009,P0009_S4,Gujarat,Gujarat_Dist_05,Industrial Corridor,266.95,15.9,19.72,68.56,31.44,53.27,46.73,0.0,584,688,173,76.63,38.22,38.41,50.12,1,18.9,1,0,1,7,3,6,2,56.39,3,1,55.19,47.07,23,55.1,52.32,50.77,20,7,95.0,203.4,128.6,0.3,120,13,50,Pre-Notification,50,0,moderate,Statutory Approvals,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0009,P0009_S5,Gujarat,Gujarat_Dist_05,Industrial Corridor,266.95,15.9,19.72,80.71,19.29,53.27,46.73,0.0,584,688,173,79.86,49.03,30.83,38.61,0,7.3,0,0,0,10,13,23,32,87.96,2,1,75.66,69.46,14,68.39,67.46,62.75,15,3,95.0,241.7,140.2,0.37,150,28,48,Compensation Disbursement,-30,0,on_time,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0010,P0010_S1,Karnataka,Karnataka_Dist_06,Metro,257.88,66.66,296.0,26.08,73.92,51.54,48.46,0.0,6526,5786,1218,41.91,10.28,31.63,75.47,2,45.7,1,0,1,86,41,53,75,38.9,1,1,6.39,4.74,248,16.46,10.6,5.02,22,5,88.47,201.1,72.7,0.34,30,25,88,Possession Handover,33,0,moderate,Statutory Approvals,2026-03-30,synthetic_calibrated,SIH2026_GEN_SEED_42
P0010,P0010_S2,Karnataka,Karnataka_Dist_06,Metro,257.88,66.66,296.0,43.07,56.93,51.54,48.46,0.0,6526,5786,1218,41.25,17.25,24.0,58.18,1,2.7,0,0,0,52,76,25,0,56.93,3,1,34.05,32.49,287,40.47,34.27,29.77,13,7,87.07,174.0,84.1,0.44,60,15,34,Pre-Notification,37,0,moderate,Utility Shifting,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0010,P0010_S3,Karnataka,Karnataka_Dist_06,Metro,257.88,66.66,296.0,60.48,39.52,51.54,48.46,0.0,6526,5786,1218,70.89,36.37,34.52,48.7,0,9.5,0,0,0,83,102,8,0,74.75,2,1,45.22,39.77,321,55.52,51.48,47.14,19,9,93.29,162.6,62.6,0.42,90,29,80,Pre-Notification,15,0,minor,Utility Shifting,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0010,P0010_S4,Karnataka,Karnataka_Dist_06,Metro,257.88,66.66,296.0,71.21,28.79,51.54,48.46,0.0,6526,5786,1218,77.33,43.35,33.98,43.94,0,19.8,3,1,2,60,42,56,0,79.79,1,1,52.01,46.41,261,61.96,56.43,55.68,13,5,86.35,159.3,120.2,0.33,120,22,57,RR Execution,15,0,minor,Statutory Approvals,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0010,P0010_S5,Karnataka,Karnataka_Dist_06,Metro,257.88,66.66,296.0,88.35,11.65,51.54,48.46,0.0,6526,5786,1218,71.41,59.27,12.14,17.0,0,53.6,1,0,1,81,9,164,3,95.36,1,1,69.94,63.4,104,80.63,74.48,73.81,20,9,90.13,198.1,63.4,0.5,150,27,41,Compensation Disbursement,-5,0,on_time,Compensation Disbursement,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0011,P0011_S1,Bihar,Bihar_Dist_09,Industrial Corridor,160.9,168.31,389.06,34.82,65.18,56.31,43.69,0.0,4275,4616,1908,45.11,12.48,32.63,72.33,2,12.6,0,0,0,56,16,94,33,44.29,4,1,26.01,25.7,169,31.44,28.29,28.26,17,8,89.02,171.0,75.1,0.5,30,19,52,Award Declaration,86,0,moderate,R&R Execution,2026-03-30,synthetic_calibrated,SIH2026_GEN_SEED_42
P0011,P0011_S2,Bihar,Bihar_Dist_09,Industrial Corridor,160.9,168.31,389.06,44.18,55.82,56.31,43.69,0.0,4275,4616,1908,50.12,15.89,34.23,68.3,2,8.3,1,0,1,40,4,21,40,44.02,1,1,32.86,32.59,207,40.52,33.44,25.66,19,11,95.0,186.2,141.0,0.36,60,23,61,Award Declaration,79,0,moderate,Compensation Disbursement,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0011,P0011_S3,Bihar,Bihar_Dist_09,Industrial Corridor,160.9,168.31,389.06,56.74,43.26,56.31,43.69,0.0,4275,4616,1908,26.33,11.64,14.69,55.79,0,37.7,0,0,0,26,7,52,22,58.17,3,1,39.17,36.32,116,51.26,43.37,38.78,17,5,95.0,248.9,87.9,0.36,90,13,82,RR Execution,-26,0,on_time,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0011,P0011_S4,Bihar,Bihar_Dist_09,Industrial Corridor,160.9,168.31,389.06,71.24,28.76,56.31,43.69,0.0,4275,4616,1908,29.62,20.77,8.85,29.88,1,12.0,2,0,2,44,123,12,13,75.14,1,1,65.64,59.6,197,66.13,61.43,57.83,15,6,88.65,74.7,114.1,0.49,120,21,76,RR Execution,70,0,moderate,Utility Shifting,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0011,P0011_S5,Bihar,Bihar_Dist_09,Industrial Corridor,160.9,168.31,389.06,85.7,14.3,56.31,43.69,0.0,4275,4616,1908,39.03,27.81,11.22,28.75,0,2.0,0,0,0,36,51,30,52,86.34,1,1,73.94,64.65,70,78.63,71.33,64.27,17,9,95.0,222.1,65.5,0.53,150,9,22,RR Execution,-30,0,on_time,Statutory Approvals,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0012,P0012_S1,Maharashtra,Maharashtra_Dist_04,Highway,387.85,10.8,27.89,5.0,95.0,81.31,18.69,0.0,283,248,122,104.23,3.66,100.57,96.49,6,52.8,1,0,1,21,32,52,1,21.57,2,1,0.0,0.0,12,0.0,0.0,0.0,24,14,72.25,170.0,97.2,0.52,30,27,118,RR Execution,306,1,critical,Compensation Disbursement,2026-03-30,synthetic_calibrated,SIH2026_GEN_SEED_42
P0012,P0012_S2,Maharashtra,Maharashtra_Dist_04,Highway,387.85,10.8,27.89,13.06,86.94,81.31,18.69,0.0,283,248,122,60.3,6.44,53.86,89.32,3,83.0,4,1,3,35,39,22,46,30.28,2,1,5.55,0.0,5,0.0,0.0,0.0,19,12,65.84,109.3,53.7,0.28,60,19,44,Pre-Notification,331,1,critical,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0012,P0012_S3,Maharashtra,Maharashtra_Dist_04,Highway,387.85,10.8,27.89,28.28,71.72,81.31,18.69,0.0,283,248,122,92.63,26.16,66.47,71.76,2,177.3,5,3,2,23,64,67,4,43.99,4,1,20.8,14.97,14,24.32,16.15,14.49,32,11,70.61,154.6,133.0,0.21,90,9,31,Compensation Disbursement,321,1,critical,Utility Shifting,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
